Match_ID,Team 1,Team 1 Confederation,Team 2,Team 2 Confederation,Matchup_ID,Winner (or draw),Winner Confederation,Win not draw,Team 1 Goals,Team 2 Goals,Goal Differential,Absolute Goal Differential,Total Goals,Team 1 Ranking,Team 2 Ranking,Ranking Gap,Higher Ranked Team,High Ranked Team Won,High Rank Team Won or Drew,Large Ranking Gap,"High SPI win, large gap","High SPI loss, large gap",Goal Differential for Favorite
1,Netherlands,UEFA,Spain,UEFA,1,Spain,UEFA,1,0,1,-1,1,1,4,2,2,Spain,1,1,0,0,0,1
2,Uruguay,CONMEBOL,Germany,UEFA,4,Germany,UEFA,1,2,3,-1,1,5,15,6,9,Germany,1,1,0,0,0,1
3,Germany,UEFA,Spain,UEFA,1,Spain,UEFA,1,0,1,-1,1,1,6,2,4,Spain,1,1,0,0,0,1
4,Uruguay,CONMEBOL,Netherlands,UEFA,4,Netherlands,UEFA,1,2,3,-1,1,5,15,4,11,Netherlands,1,1,1,1,0,1
5,Paraguay,CONMEBOL,Spain,UEFA,4,Spain,UEFA,1,0,1,-1,1,1,22,2,20,Spain,1,1,1,1,0,1
6,Argentina,CONMEBOL,Germany,UEFA,4,Germany,UEFA,1,0,4,-4,4,4,7,6,1,Germany,1,1,0,0,0,4
7,Uruguay,CONMEBOL,Ghana,CAF,9,Uruguay,CONMEBOL,1,2,1,1,1,3,15,24,9,Uruguay,1,1,0,0,0,1
8,Netherlands,UEFA,Brazil,CONMEBOL,4,Netherlands,UEFA,1,2,1,1,1,3,4,1,3,Brazil,0,0,0,0,0,-1
9,Spain,UEFA,Portugal,UEFA,1,Spain,UEFA,1,1,0,1,1,1,2,3,1,Spain,1,1,0,0,0,1
10,Paraguay,CONMEBOL,Japan,AFC,18,Paraguay,CONMEBOL,1,1,0,1,1,1,22,28,6,Paraguay,1,1,0,0,0,1
11,Brazil,CONMEBOL,Chile,CONMEBOL,16,Brazil,CONMEBOL,1,3,0,3,3,3,1,12,11,Brazil,1,1,1,1,0,3
12,Netherlands,UEFA,Slovakia,UEFA,1,Netherlands,UEFA,1,2,1,1,1,3,4,26,22,Netherlands,1,1,1,1,0,1
13,Argentina,CONMEBOL,Mexico,CONCACAF,13,Argentina,CONMEBOL,1,3,1,2,2,4,7,14,7,Argentina,1,1,0,0,0,2
14,Germany,UEFA,England,UEFA,1,Germany,UEFA,1,4,1,3,3,5,6,8,2,Germany,1,1,0,0,0,3
15,USA,CONCACAF,Ghana,CAF,8,Ghana,CAF,1,1,2,-1,1,3,11,24,13,USA,0,0,1,0,1,-1
16,Uruguay,CONMEBOL,South Korea,AFC,18,Uruguay,CONMEBOL,1,2,1,1,1,3,15,29,14,Uruguay,1,1,1,1,0,1
18,Chile,CONMEBOL,Spain,UEFA,4,Spain,UEFA,1,1,2,-1,1,3,12,2,10,Spain,1,1,0,0,0,1
