Match_index,Team 1,Team 1 Confederation,Team 2,Team 2 Confederation,Matchup_ID,Winner (or draw),Winner Confederation,Win not draw,Team 1 Goals,Team 2 Goals,Goal Differential,Absolute Goal Differential,Total Goals,Team 1 Cards,Team 2 Cards,Total Cards,Team 1 Fouls,Team 2 Fouls,Total Fouls,Winning Team Fouled More,Higher Ranked Team Fouled More,Higher Ranked Team Fouled More and Lost or Drew,Lower Ranked Team Fouls More and Wins or Draws,Higher SPI Team Fouled More,Higher SPI Team Fouled More and Lost or Drew,Lower SPI Team Fouls More and Wins or Draws,Team that fouled more,fouls equal,Team that fouled more won,Team 1 Ranking (WC Teams),Team 2 Ranking (WC Teams),Higher Ranked Team Won,Higher Ranked Team Won or Drew,Large Ranking Gap,"High SPI win, large gap",Upset,Ranking Difference,Goal Differential for Favorite by Ranking,Team 1 SPI,Team 2 SPI,Higher SPI Team Won,Higher SPI Team Won or Drew,Large SPI Gap,"High SPI win, large gap",Upset SPI,SPI Difference,Goal Differential for Favorite,Goal Differential / SPI Gap,AFC fouls,CAF fouls,CONCACAF fouls,CONMEBOL fouls,UEFA fouls
1,Brazil,CONMEBOL,Croatia,UEFA,4,Brazil,CONMEBOL,1,3,1,2,2,4,2,2,4,5,21,26,0,0,0,0,0,0,0,Croatia,0,0,3,17,1,1,1,1,0,14,2,91.83,75.72,1,1,1,1,0,16.11,2,0.124,FALSE,FALSE,FALSE,5,21
2,Mexico,CONCACAF,Cameroon,CAF,8,Mexico,CONCACAF,1,1,0,1,1,1,1,1,2,11,12,23,0,0,0,0,0,0,0,Cameroon,0,0,19,30,1,1,1,1,0,11,1,76.95,71.33,1,1,0,0,0,5.62,1,0.178,FALSE,12,11,FALSE,FALSE
3,Spain,UEFA,Netherlands,UEFA,1,Netherlands,UEFA,1,1,5,-4,4,6,1,3,4,5,18,23,1,0,0,1,0,0,1,Netherlands,0,0,1,15,0,0,1,0,1,14,-4,89.13,82.49,0,0,0,0,0,6.64,-4,-0.602,FALSE,FALSE,FALSE,FALSE,5
4,Chile,CONMEBOL,Australia,AFC,18,Chile,CONMEBOL,1,3,1,2,2,4,1,3,4,9,18,27,0,0,0,0,0,0,0,Australia,0,0,14,32,1,1,1,1,0,18,2,86.72,69.45,1,1,1,1,0,17.27,2,0.116,18,FALSE,FALSE,9,FALSE
5,Colombia,CONMEBOL,Greece,UEFA,4,Colombia,CONMEBOL,1,3,0,3,3,3,1,2,3,19,14,33,1,1,0,0,1,0,0,Colombia,0,0,8,12,1,1,0,0,0,4,3,85.82,76.78,1,1,1,1,0,9.04,3,0.332,FALSE,FALSE,FALSE,19,14
6,Ivory Coast,CAF,Japan,AFC,11,Ivory Coast,CAF,1,2,1,1,1,3,2,2,4,12,13,25,0,0,0,0,0,0,0,Japan,0,0,22,29,1,1,0,0,0,7,1,78.9,73.5,1,1,0,0,0,5.4,1,0.185,13,12,FALSE,FALSE,FALSE
7,Uruguay,CONMEBOL,Costa Rica,CONCACAF,13,Costa Rica,CONCACAF,1,1,3,-2,2,4,4,0,4,20,18,38,0,1,1,0,1,1,0,Uruguay,0,1,7,24,0,0,1,0,1,17,-2,83.35,74.07,0,0,1,0,1,9.28,-2,-0.216,FALSE,FALSE,18,20,FALSE
8,England,UEFA,Italy,UEFA,1,Italy,UEFA,1,1,2,-1,1,3,1,0,1,8,12,20,1,1,0,0,0,0,1,Italy,0,1,10,9,1,1,0,0,0,1,1,83.22,79.49,0,0,0,0,0,3.73,-1,-0.268,FALSE,FALSE,FALSE,FALSE,8
9,Switzerland,UEFA,Ecuador,CONMEBOL,4,Switzerland,UEFA,1,2,1,1,1,3,1,1,2,9,15,24,0,0,0,0,1,1,0,Ecuador,0,0,6,23,1,1,1,1,0,17,1,78.05,80.65,0,0,0,0,0,2.6,-1,-0.385,FALSE,FALSE,FALSE,15,9
10,France,UEFA,Honduras,CONCACAF,3,France,UEFA,1,3,0,3,3,3,,,7,13,14,27,0,0,0,0,0,0,0,Honduras,0,1,16,25,1,1,0,0,0,9,3,86.12,69.62,1,1,1,1,0,16.5,3,0.182,FALSE,FALSE,14,FALSE,13
11,Argentina,CONMEBOL,Bosnia and Herzegovina,UEFA,4,Argentina,CONMEBOL,1,2,1,1,1,3,,,2,10,14,24,0,0,0,0,0,0,0,Bosnia and Herzegovina,0,0,5,20,1,1,1,1,0,15,1,90,80.31,1,1,1,1,0,9.69,1,0.103,FALSE,FALSE,FALSE,10,14
12,Iran,AFC,Nigeria,CAF,11,draw,,0,0,0,0,0,0,,,1,18,16,34,0,1,1,0,0,0,1,Iran,0,0,27,28,0,1,0,0,0,1,0,70.63,75.23,0,1,0,0,0,4.6,0,0,18,16,FALSE,FALSE,FALSE
13,Germany,UEFA,Portugal,UEFA,1,Germany,UEFA,1,4,0,4,4,4,,,2,8,11,19,0,0,0,0,0,0,0,Portugal,0,0,2,4,1,1,0,0,0,2,4,88.87,81.02,1,1,0,0,0,7.85,4,0.51,FALSE,FALSE,FALSE,FALSE,8
14,Ghana,CAF,USA,CONCACAF,8,USA,CONCACAF,1,1,2,-1,1,3,,,2,10,12,22,1,1,0,0,1,0,0,USA,0,0,26,13,1,1,1,1,0,13,1,77.23,77.42,1,1,0,0,0,0.19,1,5.263,FALSE,10,12,FALSE,FALSE
15,Belgium,UEFA,Algeria,CAF,2,Belgium,UEFA,1,2,1,1,1,3,,,2,21,18,39,1,1,0,0,1,0,0,Belgium,0,0,11,21,1,1,0,0,0,10,1,81.97,63.43,1,1,1,1,0,18.54,1,0.054,FALSE,18,FALSE,FALSE,21
16,Russia,UEFA,South Korea,AFC,6,draw,,0,1,1,0,0,2,,,4,15,7,22,0,1,1,0,1,1,0,Russia,0,1,18,31,0,1,1,0,0,13,0,79.03,72.38,0,1,0,0,0,6.65,0,0,7,FALSE,FALSE,FALSE,15
17,Brazil,CONMEBOL,Mexico,CONCACAF,13,draw,,0,0,0,0,0,0,,,4,13,18,31,0,0,0,1,0,0,1,Mexico,0,1,3,19,0,1,1,0,0,16,0,91.83,76.95,0,1,1,0,0,14.88,0,0,FALSE,FALSE,18,13,FALSE
18,Cameroon,CAF,Croatia,UEFA,2,Croatia,UEFA,1,0,4,-4,4,4,,,2,11,9,20,0,0,0,0,0,0,0,Cameroon,0,0,30,17,1,1,1,1,0,13,4,71.33,75.72,1,1,0,0,0,4.39,4,0.911,FALSE,11,FALSE,FALSE,9
19,Spain,UEFA,Chile,CONMEBOL,4,Chile,CONMEBOL,1,0,2,-2,2,2,,,3,14,15,29,1,0,0,1,0,0,1,Chile,0,0,1,14,0,0,1,0,1,13,-2,89.13,86.72,0,0,0,0,0,2.41,-2,-0.83,FALSE,FALSE,FALSE,15,14
20,Australia,AFC,Netherlands,UEFA,6,Netherlands,UEFA,1,2,3,-1,1,5,,,2,18,25,43,1,1,0,0,1,0,0,Netherlands,0,0,32,15,1,1,1,1,0,17,1,69.45,82.49,1,1,1,1,0,13.04,1,0.077,18,FALSE,FALSE,FALSE,25
21,Colombia,CONMEBOL,Ivory Coast,CAF,9,Colombia,CONMEBOL,1,2,1,1,1,3,,,2,11,14,25,0,0,0,0,0,0,0,Ivory Coast,0,0,8,22,1,1,1,1,0,14,1,85.82,78.9,1,1,0,0,0,6.92,1,0.145,FALSE,14,FALSE,11,FALSE
22,Japan,AFC,Greece,UEFA,6,draw,,0,0,0,0,0,0,,,5,23,18,41,0,0,0,1,0,0,1,Japan,0,0,29,12,0,1,1,0,0,17,0,73.5,76.78,0,1,0,0,0,3.28,0,0,23,FALSE,FALSE,FALSE,18
23,Uruguay,CONMEBOL,England,UEFA,4,Uruguay,CONMEBOL,1,2,1,1,1,3,,,2,17,12,29,1,1,0,0,1,0,0,Uruguay,0,1,7,10,1,1,0,0,0,3,1,83.35,83.22,1,1,0,0,0,0.13,1,7.692,FALSE,FALSE,FALSE,17,12
24,Italy,UEFA,Costa Rica,CONCACAF,3,Costa Rica,CONCACAF,1,0,1,-1,1,1,,,2,10,24,34,1,0,0,1,0,0,1,Costa Rica,0,0,9,24,0,0,1,0,1,15,-1,79.49,74.07,0,0,0,0,0,5.42,-1,-0.185,FALSE,FALSE,24,FALSE,10
25,Switzerland,UEFA,France,UEFA,1,France,UEFA,1,2,5,-3,3,7,,,1,12,16,28,1,0,0,1,1,0,0,France,0,0,6,16,0,0,0,0,0,10,-3,78.05,86.12,1,1,1,1,0,8.07,3,0.372,FALSE,FALSE,FALSE,FALSE,12
26,Honduras,CONCACAF,Ecuador,CONMEBOL,13,Ecuador,CONMEBOL,1,1,2,-1,1,3,,,5,15,17,32,1,1,0,0,1,0,0,Ecuador,0,0,25,23,1,1,0,0,0,2,1,69.62,80.65,1,1,1,1,0,11.03,1,0.091,FALSE,FALSE,15,17,FALSE
27,Argentina,CONMEBOL,Iran,AFC,18,Argentina,CONMEBOL,1,1,0,1,1,1,,,2,8,14,22,0,0,0,0,0,0,0,Iran,0,0,5,27,1,1,1,1,0,22,1,90,70.63,1,1,1,1,0,19.37,1,0.052,14,FALSE,FALSE,8,FALSE
