Match ID,Date,Team 1,Team 2,Team 1 Confederation,Team 2 Confederation,Matchup_ID,Winner (or Draw),Winner_confederation,Win not Draw,Team 1 Goals,Team 2 Goals,Goal Differential,Absolute Goal Differential,Total Goals,Team 1 Yellow Cards,Team 1 Red Cards,Team 1 cards,Team 2 Yellow Cards,Team 2 Red Cards,team 2 cards,Total Cards,Team 1 Fouls,Team 2 Fouls,Foul Difference for Favorite,Abs foul difference,Higher Ranked Team Fouled More,Higher Ranked Team Fouled More and Lost or Drew,Lower Ranked Team Fouls More and Wins or Draws,Higher SPI Team Fouled More,Higher SPI Team Fouled More and Lost or Drew,Lower SPI Team Fouls More or as much and Wins or Draws,Team that fouled more,Fouls are equal,Team that fouled more won,Total Fouls,Team 1 Ranking (WC teams),Team 2 Ranking (WC teams),Ranking Gap,Higher Rated Team Won,Higher Rated Team Won or Drew,Large Ranking Gap,"High rank win, large gap","High rank loss, large gap",Team 1 SPI,Team 2 SPI,Higher SPI Team Won,Higher SPI Team Won or Drew,Large SPI Gap,"High SPI win, large gap","High SPI loss, large gap",Big underdog fouls more,"big underdog fouls more, wins/draws",SPI Gap,Goal Differential for Favorite,AFC fouls,CAF fouls,CONCACAF fouls,CONMEBOL fouls,UEFA fouls,AFC cards,CAF cards,CONCACAF cards,CONMEBOL cards,UEFA cards
400987417,2018-06-14,Russia,Saudi Arabia,UEFA,AFC,6,Russia,UEFA,1,5,0,5,5,5,1,0,1,1,0,1,2,22,10,12,12,0,0,1,1,0,0,Russia,0,1,32,32,31,1,0,0,0,0,0,70.14205,51.3338,1,1,1,1,0,0,0,18.80825,5,10,FALSE,FALSE,FALSE,22,1,FALSE,FALSE,FALSE,1
400987418,2018-06-15,Egypt,Uruguay,CAF,CONMEBOL,9,Uruguay,CONMEBOL,1,0,1,-1,1,1,2,0,2,0,0,0,2,12,6,-6,6,0,0,0,0,0,0,Egypt,0,0,18,26,13,13,1,1,1,1,0,62.46236,79.52363,1,1,1,1,0,1,0,17.06127,1,FALSE,12,FALSE,6,FALSE,FALSE,2,FALSE,0,FALSE
400987419,2018-06-15,Morocco,Iran,CAF,AFC,11,Iran,AFC,1,0,1,-1,1,1,1,0,1,3,0,3,4,22,14,8,8,0,0,0,1,1,0,Morocco,0,0,36,25,24,1,1,1,0,0,0,72.33079,65.56769,0,0,0,0,0,0,0,6.7631,-1,14,22,FALSE,FALSE,FALSE,3,1,FALSE,FALSE,FALSE
400987420,2018-06-15,Portugal,Spain,UEFA,UEFA,1,draw,,0,3,3,0,0,6,1,0,1,1,0,1,2,12,10,-2,2,1,1,0,0,0,1,Portugal,0,0,22,4,9,5,0,1,0,0,0,83.46619,91.30254,0,1,0,0,0,0,0,7.83635,0,FALSE,FALSE,FALSE,FALSE,12,FALSE,FALSE,FALSE,FALSE,1
400987421,2018-06-16,France,Australia,UEFA,AFC,6,France,UEFA,1,2,1,1,1,3,1,0,1,3,0,3,4,16,19,-3,3,0,0,0,0,0,0,Australia,0,0,35,7,23,16,1,1,1,1,0,87.17682,61.68548,1,1,1,1,0,1,0,25.49134,1,19,FALSE,FALSE,FALSE,16,3,FALSE,FALSE,FALSE,1
400987422,2018-06-16,Argentina,Iceland,CONMEBOL,UEFA,4,draw,,0,1,1,0,0,2,0,0,0,0,0,0,0,10,15,-5,5,0,0,1,0,0,1,Iceland,0,0,25,5,18,13,0,1,1,0,0,87.41192,67.07394,0,1,1,0,0,1,1,20.33798,0,FALSE,FALSE,FALSE,10,15,FALSE,FALSE,FALSE,0,0
400987423,2018-06-16,Peru,Denmark,CONMEBOL,UEFA,4,Denmark,UEFA,1,0,1,-1,1,1,1,0,1,2,0,2,3,10,18,8,8,0,0,1,1,0,0,Denmark,0,1,28,10,11,1,0,0,0,0,0,72.15616,74.74844,1,1,0,0,0,0,0,2.59228,1,FALSE,FALSE,FALSE,10,18,FALSE,FALSE,FALSE,1,2
400987424,2018-06-16,Croatia,Nigeria,UEFA,CAF,2,Croatia,UEFA,1,2,0,2,2,2,2,0,2,1,0,1,3,20,16,4,4,1,0,0,1,0,0,Croatia,0,1,36,16,27,11,1,1,1,1,0,80.38099,70.08336,1,1,1,1,0,0,0,10.29763,2,FALSE,16,FALSE,FALSE,20,FALSE,1,FALSE,FALSE,2
400987425,2018-06-17,Costa Rica,Serbia,CONCACAF,UEFA,3,Serbia,UEFA,1,0,1,-1,1,1,2,0,2,2,0,2,4,18,15,-3,3,1,1,0,0,0,0,Costa Rica,0,0,33,19,22,3,0,0,0,0,0,64.89752,73.8232,1,1,0,0,0,0,0,8.92568,1,FALSE,FALSE,18,FALSE,15,FALSE,FALSE,2,FALSE,2
400987426,2018-06-17,Germany,Mexico,UEFA,CONCACAF,3,Mexico,CONCACAF,1,0,1,-1,1,1,2,0,2,2,0,2,4,10,15,-5,5,0,0,1,0,0,1,Mexico,0,1,25,1,14,13,0,0,1,0,1,90.61094,75.77906,0,0,1,0,1,1,1,14.83188,-1,FALSE,FALSE,15,FALSE,10,FALSE,FALSE,2,FALSE,2
400987427,2018-06-17,Brazil,Switzerland,CONMEBOL,UEFA,4,draw,,0,1,1,0,0,2,1,0,1,3,0,3,4,12,19,-7,7,0,0,1,0,0,1,Switzerland,0,0,31,2,6,4,0,1,0,0,0,92.81522,78.14181,0,1,1,0,0,1,1,14.67341,0,FALSE,FALSE,FALSE,12,19,FALSE,FALSE,FALSE,1,3
400987428,2018-06-18,Sweden,South Korea,UEFA,AFC,6,Sweden,UEFA,1,1,0,1,1,1,1,0,1,2,0,2,3,20,23,-3,3,0,0,0,0,0,0,South Korea,0,0,43,20,29,9,1,1,0,0,0,73.86757,60.1367,1,1,1,1,0,1,0,13.73087,1,23,FALSE,FALSE,FALSE,20,2,FALSE,FALSE,FALSE,1
400987429,2018-06-18,Belgium,Panama,UEFA,CONCACAF,3,Belgium,UEFA,1,3,0,3,3,3,3,0,3,5,0,5,8,17,18,-1,1,0,0,0,0,0,0,Panama,0,0,35,3,28,25,1,1,1,1,0,85.40682,56.47272,1,1,1,1,0,1,0,28.9341,3,FALSE,FALSE,18,FALSE,17,FALSE,FALSE,5,FALSE,3
